年度,大問,小問,問題ID(固定),正答(テキスト),単位,備考
2022,1,(1),2022-Q1(1),27/58,,
2022,1,(2),2022-Q1(2),15/16,,
2022,1,(3),2022-Q1(3),126,,
2022,1,(4),2022-Q1(4),202.2,,
2022,1,(5),2022-Q1(5),10,,
2022,1,(6),2022-Q1(6),31,,
2022,2,ア,2022-Q2ア,50,分後,
2022,2,イ,2022-Q2イ,74,分後,
2022,2,ウ,2022-Q2ウ,90,分後,
2022,3,ア,2022-Q3ア,4,%,
2022,3,イ,2022-Q3イ,288,g,
2022,4,(1),2022-Q4(1),"12,14","階,番目",(1)は2つの空欄（例：12階・14番目）
2022,4,(2),2022-Q4(2),0805,,先頭0を含むので文字列扱い推奨
2022,4,(3),2022-Q4(3),16,個,
2022,4,(4),2022-Q4(4),265024,,
2022,5,(1)ア,2022-Q5(1)ア,5,cm^2,
2022,5,(1)イ,2022-Q5(1)イ,4,cm^2,
2022,5,(1)ウ,2022-Q5(1)ウ,3,cm^2,
2022,5,(2)回数,2022-Q5(2)回数,1,回,
2022,5,(2)面積,2022-Q5(2)面積,6,cm^2,
2022,6,(1),2022-Q6(1),012345679,,先頭0を含むので文字列扱い
2022,6,(2),2022-Q6(2),27,個,
2022,7,(1)ア,2022-Q7(1)ア,9,cm^3,
2022,7,(1)イ,2022-Q7(1)イ,13.5,cm^2,
2022,7,(2)ア,2022-Q7(2)ア,2:5,,
2022,7,(2)イ,2022-Q7(2)イ,3.5,倍,
